1	Iran;
3	Thailand;Laos;Vietnam;
1	Scotland;
1	Peoples R China;
2	Iran;Germany;
1	Turkey;
1	USA;
1	Iran;
1	USA;
4	Peoples R China;Japan;Vietnam;Luxembourg;
1	Peoples R China;
3	Iraq;Iran;Saudi Arabia;
1	Iran;
1	Iran;
1	Peoples R China;
1	Iran;
1	Peoples R China;
1	Peoples R China;
2	South Korea;Egypt;
2	Germany;Turkey;
1	Peoples R China;
2	India;Sweden;
2	Peoples R China;England;
1	USA;
1	India;
1	Iran;
1	Peoples R China;
2	Peoples R China;Italy;
1	Canada;
1	Peoples R China;
1	Peoples R China;
1	Iraq;
1	Iran;
1	Iran;
1	Iran;
1	Peoples R China;
1	Iran;
1	Peoples R China;
1	Peoples R China;
1	Iran;
1	USA;
1	Peoples R China;
1	Turkey;
1	Algeria;
1	Peoples R China;
1	Peoples R China;
1	USA;
1	Peoples R China;
1	USA;
2	Austria;Portugal;
1	Peoples R China;
1	Peoples R China;
1	Greece;
1	Iran;
2	Iran;USA;
1	Iran;
1	Algeria;
1	Germany;
1	Turkey;
1	Iran;
2	Iran;Australia;
1	Peoples R China;
1	Nigeria;
2	India;Australia;
1	Peoples R China;
2	Iran;Germany;
1	Peoples R China;
1	Peoples R China;
1	Australia;
2	India;Ethiopia;
1	India;
1	Iran;
3	Peoples R China;India;Germany;
1	Iran;
2	Finland;Japan;
1	Peoples R China;
1	Peoples R China;
2	Peoples R China;Australia;
2	Japan;Vietnam;
1	Peoples R China;
1	Iraq;
1	India;
2	USA;U Arab Emirates;
1	Iran;
1	Iran;
1	Peoples R China;
1	USA;
2	Vietnam;USA;
1	Germany;
1	Peoples R China;
1	Peoples R China;
2	Iran;Germany;
1	Vietnam;
1	Peoples R China;
3	Germany;Indonesia;Algeria;
1	Iran;
1	India;
1	Iran;
1	Iran;
2	Germany;Vietnam;
1	Iran;
1	USA;
2	Peoples R China;USA;
1	Germany;
1	Germany;
1	Peoples R China;
1	Iran;
1	Australia;
1	Canada;
1	Iran;
1	USA;
2	Thailand;Vietnam;
2	India;USA;
2	Peoples R China;USA;
1	Iran;
1	Mexico;
2	Peoples R China;USA;
1	Peoples R China;
1	Iran;
1	USA;
2	Thailand;Vietnam;
1	Iran;
1	Germany;
1	Algeria;
1	India;
1	Peoples R China;
1	Malaysia;
1	USA;
2	France;Algeria;
1	Peoples R China;
1	Iran;
1	Peoples R China;
1	Peoples R China;
1	India;
1	Peoples R China;
2	Iran;Germany;
1	Peoples R China;
1	Peoples R China;
1	Peoples R China;
1	Nigeria;
1	Germany;
2	Peoples R China;Australia;
1	Iran;
1	Iran;
1	Algeria;
2	Canada;Greece;
1	USA;
1	Peoples R China;
1	Algeria;
1	Peoples R China;
1	Iran;
1	USA;
2	India;Wales;
1	USA;
1	Peoples R China;
1	USA;
1	Peoples R China;
2	Peoples R China;USA;
1	Germany;
2	Peoples R China;USA;
1	Germany;
1	USA;
1	USA;
2	Peoples R China;USA;
2	Peoples R China;USA;
1	Iran;
1	Iran;
1	Thailand;
1	Iran;
1	India;
1	Mexico;
1	Mexico;
1	Vietnam;
2	Italy;Portugal;
2	Peoples R China;Germany;
1	USA;
1	U Arab Emirates;
1	Iran;
1	USA;
1	Iran;
2	Pakistan;Turkey;
1	U Arab Emirates;
1	Australia;
1	Peoples R China;
1	Peoples R China;
1	Germany;
3	Mexico;Russia;USA;
1	USA;
1	Iran;
1	Peoples R China;
1	Peoples R China;
1	Peoples R China;
1	Peoples R China;
2	Peoples R China;USA;
1	Germany;
2	Peoples R China;USA;
1	Peoples R China;
1	Peoples R China;
2	England;Sweden;
2	Peoples R China;USA;
1	Peoples R China;
2	Peoples R China;USA;
1	Peoples R China;
1	Germany;
1	Sweden;
1	Peoples R China;
1	Peoples R China;
3	Peoples R China;Canada;Australia;
1	India;
1	Germany;
2	Finland;Sweden;
1	Switzerland;
1	USA;
1	USA;
1	USA;
1	USA;
1	USA;
1	Germany;
2	Iran;USA;
1	Iran;
1	USA;
1	USA;
1	Canada;
1	Australia;
1	Germany;
1	USA;
1	India;
1	Iran;
2	Latvia;Algeria;
1	Peoples R China;
1	Peoples R China;
1	Iran;
1	Peoples R China;
1	Japan;
2	India;Ethiopia;
1	Malaysia;
1	Peoples R China;
2	Peoples R China;USA;
1	USA;
1	USA;
2	Taiwan;USA;
2	Peoples R China;Canada;
1	Taiwan;
1	Peoples R China;
1	Singapore;
1	USA;
2	Italy;Portugal;
1	USA;
2	Greece;USA;
2	Iran;USA;
1	USA;
1	Brazil;
2	France;Morocco;
1	Greece;
2	Finland;Sweden;
1	India;
2	USA;Egypt;
1	Spain;
2	Italy;Pakistan;
1	USA;
1	USA;
1	USA;
2	Iran;USA;
1	Peoples R China;
1	Japan;
2	Peoples R China;USA;
1	Japan;
1	Peoples R China;
1	India;
3	India;Japan;USA;
2	Peoples R China;USA;
1	Vietnam;
1	India;
2	Peoples R China;Germany;
1	South Africa;
1	Peoples R China;
1	India;
1	Iran;
1	Germany;
1	Vietnam;
2	Germany;Vietnam;
1	Iran;
1	Peoples R China;
1	Peoples R China;
3	New Zealand;South Korea;USA;
3	New Zealand;South Korea;USA;
1	India;
3	Peoples R China;Australia;Singapore;
2	Peoples R China;Germany;
1	Peoples R China;
1	Greece;
2	Switzerland;France;
1	Japan;
1	Algeria;
1	Peoples R China;
2	Iraq;Malaysia;
1	Peoples R China;
3	Peoples R China;Canada;New Zealand;
2	Portugal;France;
1	Italy;
1	Peoples R China;
1	India;
1	Iran;
1	USA;
1	South Korea;
2	South Korea;USA;
1	Peoples R China;
